epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,7694.61,0.48002,0.28467,0.86011,0.88786,0.78214,0.87194,0.66574,1.01243,0.8036,1.07132,5.40696e-05,5.40696e-05,5.40696e-05
68,7808.53,0.47856,0.28299,0.85865,0.89422,0.77513,0.86363,0.66789,1.00388,0.78737,1.07061,5.25252e-05,5.25252e-05,5.25252e-05
69,7922.41,0.47388,0.28339,0.85763,0.85606,0.79299,0.86491,0.66094,1.01125,0.82126,1.07622,5.09808e-05,5.09808e-05,5.09808e-05
70,8036.1,0.47104,0.28117,0.85426,0.86785,0.79025,0.87051,0.6723,1.00741,0.80367,1.07532,4.94364e-05,4.94364e-05,4.94364e-05
71,8150.06,0.46607,0.27758,0.85447,0.89331,0.78194,0.86824,0.66691,1.0015,0.81739,1.06386,4.7892e-05,4.7892e-05,4.7892e-05
72,8263.85,0.46249,0.27525,0.85474,0.91942,0.75433,0.86604,0.66735,1.00751,0.83545,1.06247,4.63476e-05,4.63476e-05,4.63476e-05
73,8377.49,0.46085,0.27444,0.85264,0.9159,0.75493,0.86072,0.66115,1.01531,0.82709,1.07986,4.48032e-05,4.48032e-05,4.48032e-05
74,8491.37,0.45733,0.27328,0.85242,0.85949,0.77922,0.86255,0.66213,1.01322,0.82338,1.07444,4.32588e-05,4.32588e-05,4.32588e-05
75,8605.21,0.45159,0.27191,0.85347,0.87673,0.78264,0.8605,0.66553,0.99872,0.81793,1.07073,4.17144e-05,4.17144e-05,4.17144e-05
76,8721.24,0.45266,0.27063,0.85114,0.90273,0.7773,0.86571,0.66133,1.02159,0.80227,1.08595,4.017e-05,4.017e-05,4.017e-05
77,8836.47,0.44616,0.26755,0.85171,0.90087,0.77152,0.86729,0.66219,1.01847,0.8176,1.08538,3.86256e-05,3.86256e-05,3.86256e-05
78,8950.18,0.44644,0.26799,0.85197,0.81302,0.82611,0.86912,0.66612,1.00858,0.8229,1.07872,3.70812e-05,3.70812e-05,3.70812e-05
79,9063.9,0.44237,0.26489,0.84908,0.88486,0.77678,0.86981,0.66629,1.00841,0.83272,1.08178,3.55368e-05,3.55368e-05,3.55368e-05
80,9177.56,0.43748,0.26426,0.84823,0.89393,0.76982,0.86962,0.6721,1.00468,0.81695,1.07703,3.39924e-05,3.39924e-05,3.39924e-05
81,9291.22,0.43255,0.26042,0.84781,0.90477,0.77116,0.8669,0.66481,1.00664,0.80156,1.07637,3.2448e-05,3.2448e-05,3.2448e-05
82,9405.08,0.43066,0.25947,0.8465,0.82022,0.83173,0.88237,0.67112,1.0065,0.81477,1.08023,3.09036e-05,3.09036e-05,3.09036e-05
83,9519.31,0.42658,0.25696,0.84593,0.83167,0.80012,0.87514,0.66958,0.99743,0.81016,1.0762,2.93592e-05,2.93592e-05,2.93592e-05
84,9633.19,0.42749,0.25799,0.84662,0.86841,0.78261,0.8701,0.67036,1.00711,0.81673,1.07652,2.78148e-05,2.78148e-05,2.78148e-05
85,9747.03,0.42128,0.25678,0.84553,0.89851,0.76664,0.86631,0.67023,1.00324,0.80677,1.07626,2.62704e-05,2.62704e-05,2.62704e-05
86,9860.84,0.42137,0.25339,0.84361,0.91013,0.75915,0.867,0.66947,1.00814,0.79025,1.08205,2.4726e-05,2.4726e-05,2.4726e-05
87,9974.66,0.417,0.25371,0.84564,0.8229,0.806,0.8725,0.6745,1.00772,0.78387,1.08221,2.31816e-05,2.31816e-05,2.31816e-05
88,10088.7,0.4148,0.25021,0.84209,0.86649,0.77186,0.86593,0.66965,1.0009,0.79595,1.07434,2.16372e-05,2.16372e-05,2.16372e-05
89,10202.4,0.41354,0.25009,0.84352,0.89415,0.76616,0.86856,0.67088,1.00409,0.80085,1.07674,2.00928e-05,2.00928e-05,2.00928e-05
90,10316.1,0.40881,0.24779,0.84313,0.8179,0.80757,0.86781,0.66944,1.00634,0.80161,1.07704,1.85484e-05,1.85484e-05,1.85484e-05
91,10461,0.36643,0.20651,0.81836,0.81112,0.79385,0.86071,0.66346,1.0156,0.77722,1.08352,1.7004e-05,1.7004e-05,1.7004e-05
92,10574.4,0.3522,0.20005,0.81359,0.87855,0.76936,0.86075,0.66079,1.02199,0.78263,1.08328,1.54596e-05,1.54596e-05,1.54596e-05
93,10687.7,0.34965,0.19905,0.81446,0.79928,0.81254,0.86322,0.662,1.02895,0.79259,1.08692,1.39152e-05,1.39152e-05,1.39152e-05
94,10800.8,0.34292,0.19699,0.81108,0.79758,0.81471,0.86551,0.66136,1.02944,0.78706,1.09076,1.23708e-05,1.23708e-05,1.23708e-05
95,10914,0.33677,0.19443,0.81117,0.80548,0.81016,0.85975,0.65888,1.02847,0.79776,1.08982,1.08264e-05,1.08264e-05,1.08264e-05
96,11027.2,0.33538,0.19299,0.81001,0.80593,0.80911,0.86394,0.66302,1.02722,0.79077,1.09081,9.282e-06,9.282e-06,9.282e-06
97,11140.3,0.32877,0.19091,0.80864,0.86348,0.78759,0.85783,0.6621,1.02642,0.7982,1.09064,7.7376e-06,7.7376e-06,7.7376e-06
98,11253.5,0.32642,0.19058,0.80879,0.8657,0.78421,0.8584,0.66014,1.02832,0.80315,1.09208,6.1932e-06,6.1932e-06,6.1932e-06
99,11366.7,0.32501,0.18923,0.80897,0.86757,0.78485,0.85658,0.66126,1.02706,0.80285,1.09126,4.6488e-06,4.6488e-06,4.6488e-06
100,11479.9,0.32394,0.19006,0.80954,0.86642,0.7843,0.85634,0.66102,1.02312,0.80434,1.09047,3.1044e-06,3.1044e-06,3.1044e-06
